日期	虞北平原上河区	虞北平原中河区	余姚平原上河区	慈溪平原西河区	慈溪平原中河区	慈溪平原东河区	余姚平原下河区	余姚平原马渚中河区	丰惠平原区	余姚平原姚江上游区	余姚平原姚江下游区	江北镇海平原区	日引水量(万m3)	日均引水流量(m3/s)
2026/03/20	14.084499999999997	0.0	11.5361	18.4163	22.6603	24.6293	8.898499999999999	0.441	4.9461	5.452100000000001	6.704000000000001	65.4938	183.262	21.210879629629627
2026/03/21	11.884499999999996	0.0	9.3361	16.216299999999997	20.460299999999997	22.4293	6.698499999999999	0.0	2.7461	3.2521000000000004	4.504	63.2938	160.821	18.613541666666666
2026/03/22	13.516499999999995	0.0	10.9681	17.8483	22.0923	24.0613	8.330499999999999	0.0	4.3781	4.8841	6.136000000000001	64.9258	177.141	20.502430555555552
2026/03/23	14.030499999999996	0.0	11.4821	18.3623	22.606299999999997	24.5753	8.8445	0.387	4.8921	5.3981	6.65	65.4398	182.668	21.14212962962963
2026/03/24	11.756499999999996	0.0	9.2081	16.088299999999997	20.332299999999996	22.3013	6.570499999999999	0.0	2.6181	3.1241000000000003	4.376	63.1658	159.541	18.465393518518518
2026/03/25	13.420499999999995	0.0	10.8721	17.752299999999998	21.9963	23.9653	8.234499999999999	0.0	4.2821	4.7881	6.040000000000001	64.8298	176.18099999999998	20.39131944444444
2026/03/26	11.262499999999998	0.0	8.7141	15.5943	19.838299999999997	21.8073	6.076499999999999	0.0	2.1241000000000003	2.6301000000000005	3.882000000000001	62.6718	154.601	17.893634259259258
2026/03/27	9.385499999999997	0.0	6.8371	13.717299999999998	17.961299999999998	19.9303	4.1995	0.0	0.2471000000000005	0.7530999999999999	2.005000000000001	60.7948	135.831	15.721180555555554
2026/03/28	11.655499999999996	0.0	9.1071	15.987299999999998	20.231299999999997	22.2003	6.469499999999999	0.0	2.5171	3.0231000000000003	4.275	63.0648	158.531	18.34849537037037
2026/03/29	10.875499999999995	0.0	8.3271	15.207299999999998	19.451299999999996	21.420299999999997	5.689499999999999	0.0	1.7371	2.2431	3.495	62.2848	150.731	17.44571759259259
2026/03/30	10.016499999999995	0.0	7.4681	14.348299999999998	18.5923	20.5613	4.830499999999999	0.0	0.8780999999999999	1.3841	2.636	61.425799999999995	142.141	16.45150462962963
2026/03/31	12.525499999999996	0.0	9.9771	16.8573	21.1013	23.0703	7.339499999999999	0.0	3.3871	3.8931	5.1450000000000005	63.9348	167.231	19.35543981481481
2026/04/01	16.6595	0.0	13.0311	20.0013	23.6053	25.2843	9.4935	0.266	4.8011	6.3171	7.539000000000001	65.8388	192.83700000000002	22.319097222222222
2026/04/02	16.9335	0.0	13.3051	20.2753	23.879299999999997	25.5583	9.767499999999998	0.54	5.0751	6.5911	7.813000000000001	66.11280000000001	195.851	22.66793981481481
2026/04/03	9.3165	0.0	6.9681	7.7483	5.0123	3.841300000000001	2.7905	0.0	0.0	0.0	2.346000000000001	60.7458	98.7688	11.431574074074073
