日期	丰惠平原区	余姚平原上河区	余姚平原下河区	余姚平原姚江上游区	余姚平原姚江下游区	南沙平原区	慈溪平原西河区	慈溪平原中河区	慈溪平原东河区	江北镇海平原区	绍虞平原区	虞北平原上河区	虞北平原中河区	蜀山平原区	余姚平原马渚中河区
2025/07/11	-4.90	-4.90	-4.90	-4.90	-4.90	-0.80	-4.90	-4.90	-4.90	-4.90	-0.80	-4.90	-4.90	-0.80	-4.90
2025/07/12	1.38	1.38	1.38	1.38	1.38	5.91	1.38	1.38	1.38	1.38	5.91	1.38	1.38	5.91	1.38
2025/07/13	7.46	7.46	7.46	7.46	7.46	12.42	7.46	7.46	7.46	7.46	12.42	7.46	7.46	12.42	7.46
2025/07/14	15.65	15.65	15.65	15.65	15.65	18.73	15.65	15.65	15.65	15.65	18.73	15.65	15.65	18.73	15.65
2025/07/15	22.99	22.99	22.99	22.99	22.99	23.79	22.99	22.99	22.99	22.99	23.79	22.99	22.99	23.79	22.99
2025/07/16	30.78	30.78	30.78	30.78	30.78	29.70	30.78	30.78	30.78	30.78	29.70	30.78	30.78	29.70	30.78
2025/07/17	29.79	29.79	29.79	29.79	29.79	27.65	29.79	29.79	29.79	29.79	27.65	29.79	29.79	27.65	29.79
2025/07/18	28.80	28.80	28.80	28.80	28.80	25.60	28.80	28.80	28.80	28.80	25.60	28.80	28.80	25.60	28.80
2025/07/19	27.81	27.81	27.81	27.81	27.81	23.55	27.81	27.81	27.81	27.81	23.55	27.81	27.81	23.55	27.81
2025/07/20	26.82	26.82	26.82	26.82	26.82	23.78	26.82	26.82	26.82	26.82	23.78	26.82	26.82	23.78	26.82
2025/07/21	25.83	25.83	25.83	25.83	25.83	24.01	25.83	25.83	25.83	25.83	24.01	25.83	25.83	24.01	25.83
2025/07/22	24.84	24.84	24.84	24.84	24.84	22.19	24.84	24.84	24.84	24.84	22.19	24.84	24.84	22.19	24.84
2025/07/23	23.85	23.85	23.85	23.85	23.85	20.37	23.85	23.85	23.85	23.85	20.37	23.85	23.85	20.37	23.85
2025/07/24	22.85	22.85	22.85	22.85	22.85	18.51	22.85	22.85	22.85	22.85	18.51	22.85	22.85	18.51	22.85
2025/07/25	21.82	21.82	21.82	21.82	21.82	18.74	21.82	21.82	21.82	21.82	18.74	21.82	21.82	18.74	21.82
2025/07/26	20.77	20.77	20.77	20.77	20.77	18.93	20.77	20.77	20.77	20.77	18.93	20.77	20.77	18.93	20.77
2025/07/27	19.69	19.69	19.69	19.69	19.69	19.07	19.69	19.69	19.69	19.69	19.07	19.69	19.69	19.07	19.69
2025/07/28	18.59	18.59	18.59	18.59	18.59	19.18	18.59	18.59	18.59	18.59	19.18	18.59	18.59	19.18	18.59
2025/07/29	17.46	17.46	17.46	17.46	17.46	19.24	17.46	17.46	17.46	17.46	19.24	17.46	17.46	19.24	17.46
2025/07/30	18.44	18.44	18.44	18.44	18.44	19.24	18.44	18.44	18.44	18.44	19.24	18.44	18.44	19.24	18.44
