日期	丰惠平原区	余姚平原上河区	余姚平原下河区	余姚平原姚江上游区	余姚平原姚江下游区	南沙平原区	慈溪平原西河区	慈溪平原中河区	慈溪平原东河区	江北镇海平原区	绍虞平原区	虞北平原上河区	虞北平原中河区	蜀山平原区	余姚平原马渚中河区
2025/07/02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
2025/07/03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
2025/07/04	0.00	0.00	0.00	0.00	0.00	248.90	0.00	0.00	0.00	0.00	208.00	0.00	0.00	11.48	0.00
2025/07/05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
2025/07/06	30.40	24.00	18.08	25.06	20.74	80.78	17.60	27.14	34.29	25.28	67.50	34.29	1.97	3.73	3.36
2025/07/07	30.64	24.19	18.22	25.27	20.91	82.02	17.74	27.36	34.57	25.48	68.54	34.57	1.99	3.78	3.39
2025/07/08	30.89	24.39	18.37	25.47	21.08	83.26	17.88	27.58	34.85	25.69	69.58	34.85	2.01	3.84	3.41
2025/07/09	31.14	24.58	18.52	25.67	21.25	84.51	18.03	27.81	35.13	25.89	70.62	35.13	2.02	3.90	3.44
2025/07/10	31.38	24.78	18.67	25.88	21.42	85.75	18.17	28.03	35.40	26.10	71.66	35.40	2.04	3.96	3.47
2025/07/11	31.63	24.97	18.81	26.08	21.59	111.30	18.31	28.25	35.68	26.30	93.01	35.68	2.05	5.14	3.50
2025/07/12	31.88	25.17	18.96	26.29	21.76	112.54	18.46	28.47	35.96	26.51	94.05	35.96	2.07	5.19	3.52
2025/07/13	40.91	32.30	24.33	33.73	27.92	113.78	23.68	36.53	46.15	34.02	95.09	46.15	2.66	5.25	4.52
2025/07/14	41.16	32.49	24.48	33.94	28.09	115.03	23.83	36.75	46.43	34.22	96.13	46.43	2.67	5.31	4.55
2025/07/15	41.40	32.69	24.62	34.14	28.26	116.27	23.97	36.97	46.71	34.43	97.17	46.71	2.69	5.37	4.58
2025/07/16	8.78	6.93	5.22	7.24	5.99	24.30	5.08	7.84	9.91	7.30	20.31	9.91	0.57	1.12	0.97
2025/07/17	8.78	6.93	5.22	7.24	5.99	24.30	5.08	7.84	9.91	7.30	20.31	9.91	0.57	1.12	0.97
2025/07/18	8.78	6.93	5.22	7.24	5.99	24.30	5.08	7.84	9.91	7.30	20.31	9.91	0.57	1.12	0.97
2025/07/19	8.78	6.93	5.22	7.24	5.99	51.32	5.08	7.84	9.91	7.30	42.89	9.91	0.57	2.37	0.97
2025/07/20	8.78	6.93	5.22	7.24	5.99	51.32	5.08	7.84	9.91	7.30	42.89	9.91	0.57	2.37	0.97
2025/07/21	8.78	6.93	5.22	7.24	5.99	27.02	5.08	7.84	9.91	7.30	22.58	9.91	0.57	1.25	0.97
2025/07/22	8.78	6.93	5.22	7.24	5.99	27.02	5.08	7.84	9.91	7.30	22.58	9.91	0.57	1.25	0.97
2025/07/23	8.84	6.98	5.26	7.29	6.04	27.02	5.12	7.90	9.98	7.35	22.58	9.98	0.57	1.25	0.98
2025/07/24	8.84	6.98	5.26	7.29	6.04	52.32	5.12	7.90	9.98	7.35	43.72	9.98	0.57	2.41	0.98
2025/07/25	8.84	6.98	5.26	7.29	6.04	52.32	5.12	7.90	9.98	7.35	43.72	9.98	0.57	2.41	0.98
2025/07/26	8.84	6.98	5.26	7.29	6.04	52.32	5.12	7.90	9.98	7.35	43.72	9.98	0.57	2.41	0.98
2025/07/27	8.84	6.98	5.26	7.29	6.04	52.32	5.12	7.90	9.98	7.35	43.72	9.98	0.57	2.41	0.98
2025/07/28	8.84	6.98	5.26	7.29	6.04	52.32	5.12	7.90	9.98	7.35	43.72	9.98	0.57	2.41	0.98
2025/07/29	16.96	13.39	10.09	13.99	11.58	52.08	9.82	15.15	19.14	14.11	43.52	19.14	1.10	2.40	1.87
2025/07/30	16.96	13.39	10.09	13.99	11.58	52.08	9.82	15.15	19.14	14.11	43.52	19.14	1.10	2.40	1.87
