序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,人口（万人）_城镇,农村,合计,国内地区生产总值  （亿元）_一产,二产,三产,合计,工业增加值（亿元）_火核电工业,国有及规模以上一般工业,规模以下工业,合计,火(核)电装机(万kW)_直流式,循环式,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）_水田,水浇地,菜田,总计,粮食产量（万吨）,林牧渔面积（万亩）_林地灌溉,园地灌溉,草场灌溉,人工鱼塘,牲畜(万头)_大牲畜,小牲畜,合计,col_37,col_38,zjszyreport,12.0
12,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330111,富阳区,杭州市,1760.1,58.27,23.53,81.8,49.21,343.17,415.32,807.7,2.45,235.75,57.7976,295.9976,0,10.85,36.66,33.69,31.94,1.04,0.72,33.7,9.67,0.18,0.45,0,2.91,0.32,77.63,77.95,,,,
13,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330111,富阳区,杭州市,47.9,0.15,1.25,1.4,0.3,1.85,2.21,4.36,,0,0.7824,0.7824,,,0.37,0.3,0.14,0.13,0.02,0.29,0.13,0,0,0,0,0,0,0,,,,
14,长江,太湖水系,湖西及湖区,东苕溪,F120120,330112,临安区,杭州市,845,28.93,10.99,39.92,25.66,156.3,153.14,335.1,0.8552,158.4493,19.2529,178.5574,0,1.35,15.24,10.42,7.88,0.47,0.64,8.99,1.3,0.29,0.3,0,0.085,0.09,8.8209,8.9109,,,,
15,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330112,临安区,杭州市,2279,8.7,14.83,23.53,20.35,123.75,121.21,265.31,,24.9207,32.8619,57.7826,0,0,28.14,19.46,15.64,1.04,1.21,17.89,2.6,0.25,0.27,0,0.085,0.12,25.1291,25.2491,,,,
16,东南诸河,钱塘江,富春江坝址以上,兰江及富春江上游段,G010160,330122,桐庐县,杭州市,146.5,0,0.31,0.31,0.3,1.72,1.97,3.99,,0,0.2693,0.2693,,,0.6,0.4499,0.29,0.09,0.0601,0.4401,0.09,0.04,0,0,0.01,0,0,0,,,,
17,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330122,桐庐县,杭州市,1633.5,31.88,13.12,45,25.06,159.06,188.17,372.29,0.36,91.79,38.8207,130.9707,0,1.8,31.53,21.7651,18.9699,1.39,1.13,21.4899,4.56,0.82,0,0,0.99,0.09,21.42,21.51,,,,
18,东南诸河,钱塘江,富春江坝址以上,衢江上游,G010110,330127,淳安县,杭州市,16.4,0,0.18,0.18,0.1,0.24,0.51,0.85,,0,0,0,,,0.09,0.08,0.06,0,0.02,0.08,0.03,0,0.04,0,0,0,0.05,0.05,,,,
19,东南诸河,钱塘江,富春江坝址以上,新安江,G010150,330127,淳安县,杭州市,4369.3,15.36,16.81,32.17,37.61,61.07,136.74,235.42,,26.59,11.33,37.92,,,26.49,13.83,8.62,1.12,1.68,11.42,4.06,0.03,1.75,0,0.25,0.1,17.25,17.35,,,,
20,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330127,淳安县,杭州市,66.3,0,0.54,0.54,0.71,1.12,2.52,4.35,,0,0,0,,,0.83,0.61,0.43,0.02,0.01,0.46,0.16,0,0.02,0,0,0,0.2,0.2,,,,
21,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330142,西湖区,杭州市,115.9,88.78,0.9,89.68,2.71,81.29,1052.12,1136.12,,47.0442,4.1033,51.1475,,,1.51,0.91,0.56,0.02,0.34,0.92,0.06,0,0,0,0.14,0,0,0,,,,
22,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330142,西湖区,杭州市,147.1,19.3,2.32,21.62,1.24,35.57,460.54,497.35,,25.3158,3.1667,28.4825,,,3.86,3.13,2.22,0.21,0.55,2.98,0.06,1.81,0,0,0.39,0,0,0,,,,
23,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330155,钱塘新区,杭州市,104.7,47,0,47,0.37,465.43,269.83,735.63,0.6,421.91,27.65,450.16,0,5.7,3.68,0.56,0,0.03,0.03,0.06,0.03,0,0.04,0,0,0.025,0,0.025,,,,
24,东南诸河,钱塘江,富春江坝址以下,萧绍平原,G010230,330155,钱塘新区,杭州市,427,20.83,9.09,29.92,14.07,266.79,79.25,360.11,5.1,229.84,9.52,244.46,0,111.9,20.29,30.26,26.355,0,0.555,26.91,2.9,0,0.4,0,2.32,0.12,19.89,20.01,,,,
25,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,330182,建德市,杭州市,78.3,0.11,1.73,1.84,1.57,7.79,7.41,16.77,,5.7002,0.1922,5.8924,,,2.65,1.1002,1.01,0.06,0.03,1.1,0.37,0.04,0.26,0,0.1,0,2.71,2.71,,,,
26,东南诸河,钱塘江,富春江坝址以上,新安江,G010150,330182,建德市,杭州市,1326.1,18.48,13.65,32.13,26.58,130.08,123.54,280.2,,94.9259,9.8485,104.7744,,,26.18,17.0737,14.2301,0.44,0.32,14.9901,4.97,0.19,1.41,0,0.55,0.19,27.07,27.26,,,,
27,东南诸河,钱塘江,富春江坝址以上,兰江及富春江上游段,G010160,330182,建德市,杭州市,871.1,4.67,4.58,9.25,8.06,39.65,37.69,85.4,,30.944,3.507,34.451,,,9.87,4.861,3.94,0.11,0.08,4.13,1.37,0.11,0.56,0,0.4,0,12.07,12.07,,,,
28,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330182,建德市,杭州市,88.5,0.11,0.95,1.06,0.94,4.44,4.13,9.51,,3.4899,0.4324,3.9223,,,0.93,0.6501,0.36,0.04,0.02,0.42,0.14,0.04,0.26,0,0.1,0,2.44,2.44,,,,
