日期	丰惠平原区	余姚平原上河区	余姚平原下河区	余姚平原姚江上游区	余姚平原姚江下游区	南沙平原区	姚江沿线大工业用水区	慈溪平原西河区	慈溪平原中河区	慈溪平原东河区	江北镇海平原区	海曙平原区	绍虞平原区	舟山大陆用水区	虞北平原上河区	虞北平原中河区	蜀山平原区	鄞州调水区	余姚平原马渚中河区
2026/03/14	0.63	4.45	2.23	2.91	2.83	1.97	0.0	6.82	4.54	3.5	1.66	11.49	6.36	0.0	10.76	0.57	1.28	0.0	0.37
2026/03/15	0.63	4.45	2.23	2.91	2.83	1.97	0.0	6.82	4.54	3.5	1.66	11.49	6.36	0.0	10.76	0.57	1.28	0.0	0.37
2026/03/16	0.63	4.45	2.23	2.91	2.83	1.97	0.0	6.82	4.54	3.5	1.66	11.49	6.36	0.0	10.76	0.57	1.28	0.0	0.37
2026/03/17	0.63	4.45	2.23	2.91	2.83	1.97	0.0	6.82	4.54	3.5	1.66	11.49	6.36	0.0	10.76	0.57	1.28	0.0	0.37
2026/03/18	0.63	4.45	2.23	2.91	2.83	1.97	0.0	6.82	4.54	3.5	1.66	11.49	6.36	0.0	10.76	0.57	1.28	0.0	0.37
2026/03/19	0.63	4.45	2.23	2.91	2.83	1.97	0.0	6.82	4.54	3.5	1.66	11.49	6.36	0.0	10.76	0.57	1.28	0.0	0.37
2026/03/20	0.63	4.45	2.23	2.91	2.83	1.97	0.0	6.82	4.54	3.5	1.66	11.49	6.36	0.0	10.76	0.57	1.28	0.0	0.37
2026/03/21	0.63	4.45	2.23	2.91	2.83	1.97	0.0	6.82	4.54	3.5	1.66	11.49	6.36	0.0	10.76	0.57	1.28	0.0	0.37
2026/03/22	0.63	4.45	2.23	2.91	2.83	1.97	0.0	6.82	4.54	3.5	1.66	11.49	6.36	0.0	10.76	0.57	1.28	0.0	0.37
2026/03/23	0.63	4.45	2.23	2.91	2.83	1.97	0.0	6.82	4.54	3.5	1.66	11.49	6.36	0.0	10.76	0.57	1.28	0.0	0.37
2026/03/24	0.63	4.45	2.23	2.91	2.83	1.97	0.0	6.82	4.54	3.5	1.66	11.49	6.36	0.0	10.76	0.57	1.28	0.0	0.37
2026/03/25	0.63	4.45	2.23	2.91	2.83	1.97	0.0	6.82	4.54	3.5	1.66	11.49	6.36	0.0	10.76	0.57	1.28	0.0	0.37
2026/03/26	0.63	4.45	2.23	2.91	2.83	1.97	0.0	6.82	4.54	3.5	1.66	11.49	6.36	0.0	10.76	0.57	1.28	0.0	0.37
2026/03/27	0.63	4.45	2.23	2.91	2.83	1.97	0.0	6.82	4.54	3.5	1.66	11.49	6.36	0.0	10.76	0.57	1.28	0.0	0.37
2026/03/28	0.63	4.45	2.23	2.91	2.83	1.97	0.0	6.82	4.54	3.5	1.66	11.49	6.36	0.0	10.76	0.57	1.28	0.0	0.37
2026/03/29	0.63	4.45	2.23	2.91	2.83	1.97	0.0	6.82	4.54	3.5	1.66	11.49	6.36	0.0	10.76	0.57	1.28	0.0	0.37
2026/03/30	0.63	4.45	2.23	2.91	2.83	1.97	0.0	6.82	4.54	3.5	1.66	11.49	6.36	0.0	10.76	0.57	1.28	0.0	0.37
2026/03/31	0.63	4.45	2.23	2.91	2.83	1.97	0.0	6.82	4.54	3.5	1.66	11.49	6.36	0.0	10.76	0.57	1.28	0.0	0.37
2026/04/01	0.81	6.27	3.15	4.1	3.99	2.63	0.0	8.73	5.81	4.48	2.33	11.49	8.1	0.0	13.66	0.72	1.71	0.0	0.52
2026/04/02	0.81	6.27	3.15	4.1	3.99	2.63	0.0	8.73	5.81	4.48	2.33	11.49	8.1	0.0	13.66	0.72	1.71	0.0	0.52
2026/04/03	0.81	6.27	3.15	4.1	3.99	2.63	0.0	8.73	5.81	4.48	2.33	11.49	8.1	0.0	13.66	0.72	1.71	0.0	0.52
